# CREATED_DATE: 2023-04-20T10:56:12.704Z
# MODIFIED_DATE: 2023-11-25T05:01:47.306Z
# STATUS: Following
# OBS_GROUP: PSST
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J212600.455-034820.602; (21:26:00.46, -03:48:20.87)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023gft
# RA: 321.5055315240771
# DEC: -3.798211389975169
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-06-17T00:00:00Z
# REDSHIFT: 0.0098
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-04-17T10:00:46Z
# NON_DETECT_LIMIT: 18.85
# MW_EBV: 0.053
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.jpeg
# POSTAGE_STAMP_REF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.jpeg
# POSTAGE_STAMP_DIFF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.fits
# POSTAGE_STAMP_REF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023gft
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [30, 32, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60222.204  g-ZTF  3839.355  309.627  18.539  0.088  None  P48  ZTF-Cam  None
OBS:      60224.211  r-ZTF  1678.494  214.290  19.438  0.139  None  P48  ZTF-Cam  None
OBS:      60224.311  g-ZTF  3713.320  326.195  18.576  0.095  None  P48  ZTF-Cam  None
OBS:      60227.173  r-ZTF  1709.541  248.084  19.418  0.158  None  P48  ZTF-Cam  None
OBS:      60227.325  g-ZTF  3575.032  300.231  18.617  0.091  None  P48  ZTF-Cam  None
OBS:      60231.148  r-ZTF  1450.106  174.896  19.597  0.131  None  P48  ZTF-Cam  None
OBS:      60231.170  g-ZTF  3134.149  243.051  18.760  0.084  None  P48  ZTF-Cam  None
OBS:      60233.149  r-ZTF  1420.628  201.119  19.619  0.154  None  P48  ZTF-Cam  None
OBS:      60233.195  g-ZTF  3096.279  288.235  18.773  0.101  None  P48  ZTF-Cam  None
OBS:      60235.127  r-ZTF  1367.352  149.414  19.660  0.119  None  P48  ZTF-Cam  None
OBS:      60235.170  g-ZTF  3229.388  306.102  18.727  0.103  None  P48  ZTF-Cam  None
OBS:      60237.171  r-ZTF  1345.861  176.577  19.677  0.142  None  P48  ZTF-Cam  None
OBS:      60237.248  g-ZTF  3010.234  278.983  18.803  0.101  None  P48  ZTF-Cam  None
OBS:      60239.128  r-ZTF  1304.849  154.814  19.711  0.129  None  P48  ZTF-Cam  None
OBS:      60239.190  g-ZTF  3213.660  280.302  18.733  0.095  None  P48  ZTF-Cam  None
OBS:      60242.173  g-ZTF  2805.436  424.959  18.880  0.164  None  P48  ZTF-Cam  None
OBS:      60250.128  g-ZTF  2569.212  294.223  18.976  0.124  None  P48  ZTF-Cam  None
OBS:      60252.111  r-ZTF  1006.560  163.860  19.993  0.177  None  P48  ZTF-Cam  None
OBS:      60252.183  g-ZTF  2696.994  249.677  18.923  0.101  None  P48  ZTF-Cam  None
OBS:      60254.152  g-ZTF  2515.357  229.681  18.999  0.099  None  P48  ZTF-Cam  None
OBS:      60254.206  r-ZTF  772.182  163.530  20.281  0.230  None  P48  ZTF-Cam  None
OBS:      60257.191  g-ZTF  2454.934  410.318  19.025  0.181  None  P48  ZTF-Cam  None
OBS:      60259.153  g-ZTF  2386.494  216.386  19.056  0.098  None  P48  ZTF-Cam  None
OBS:      60261.185  g-ZTF  2320.165  334.183  19.086  0.156  None  P48  ZTF-Cam  None
# END: 
