# CREATED_DATE: 2022-03-23T01:50:23.788Z
# MODIFIED_DATE: 2023-07-05T09:17:28.008Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN Iax[02cx-like]
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: None
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2022eyw
# RA: 190.99987499999997
# DEC: 62.33008055555556
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2022-03-22T11:04:36.192Z
# REDSHIFT: 0.009
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2022-03-03T07:50:53Z
# NON_DETECT_LIMIT: 20.49
# MW_EBV: 0.011
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Iax[02cx-like]
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2022eyw
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 16, 45, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59677.436  V  69584.617  2458.366  15.393  0.038  None  Nickel  Direct/2Kx2K  None
OBS:      59677.439  r  73252.282  2043.515  15.338  0.030  None  Nickel  Direct/2Kx2K  None
OBS:      59677.442  i  60414.905  1382.456  15.547  0.025  None  Nickel  Direct/2Kx2K  None
OBS:      59696.440  V  18692.614  568.178  16.821  0.033  None  Nickel  Direct/2Kx2K  None
OBS:      59696.450  i  34568.492  883.935  16.153  0.028  None  Nickel  Direct/2Kx2K  None
OBS:      59699.445  V  16242.329  484.143  16.973  0.032  None  Nickel  Direct/2Kx2K  None
OBS:      59699.454  i  28989.308  651.064  16.344  0.024  None  Nickel  Direct/2Kx2K  None
OBS:      59703.395  B  3832.609  134.116  18.542  0.038  None  Nickel  Direct/2Kx2K  None
OBS:      59703.408  r  22775.460  570.559  16.606  0.027  None  Nickel  Direct/2Kx2K  None
OBS:      59703.412  i  25978.127  510.992  16.464  0.021  None  Nickel  Direct/2Kx2K  None
OBS:      59754.274  B  1882.379  78.107  19.313  0.045  None  Nickel  Direct/2Kx2K  None
OBS:      59754.281  V  5772.132  163.776  18.096  0.031  None  Nickel  Direct/2Kx2K  None
OBS:      59754.292  i  8137.601  173.620  17.724  0.023  None  Nickel  Direct/2Kx2K  None
OBS:      59668.866  G  48752.849  8980.607  15.780  0.200  None  Gaia  Gaia-Photometric  None
# END: 
