SNID: 2015F
SURVEY: UVEXT
SNTYPE: 1
IAUC: 2015F
FILTERS: ugriBomn
RA:   114.065670 deg
DECL:   -69.506390 deg 
RA_HOST:   114.099330
DEC_HOST:   -69.530830
REDSHIFT_HELIO: 0.00489 +- 1.8e-05 
REDSHIFT_CMB: 0.005286 +- 1.8e-05 
VPEC: 80.5777 +- 250.0

MWEBV: 0.174900  MW E(B-V)
SEARCH_PEAKMJD: 57105.1
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  294
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 57134.510  CSP-u/t  NULL    12427.9644      206.0375      17.264   0.018
OBS: 57135.510  CSP-u/t  NULL    12033.7227      166.2513      17.299   0.015
OBS: 57136.510  CSP-u/t  NULL    11502.7055      169.5094      17.348   0.016
OBS: 57137.520  CSP-u/t  NULL    10734.9494      158.1954      17.423   0.016
OBS: 57138.550  CSP-u/t  NULL    10148.4566      186.9407      17.484   0.020
OBS: 57139.520  CSP-u/t  NULL    9990.7939      138.0273      17.501   0.015
OBS: 57141.560  CSP-u/t  NULL    9255.5024      161.9673      17.584   0.019
OBS: 57143.570  CSP-u/t  NULL    8904.3044      172.2238      17.626   0.021
OBS: 57146.580  CSP-u/t  NULL    7827.0841      252.3143      17.766   0.035
OBS: 57148.540  CSP-u/t  NULL    7677.1495      205.0557      17.787   0.029
OBS: 57152.560  CSP-u/t  NULL    6680.3620      92.2922      17.938   0.015
OBS: 57154.540  CSP-u/t  NULL    6723.5711      229.1266      17.931   0.037
OBS: 57157.530  CSP-u/t  NULL    6042.2682      111.3022      18.047   0.020
OBS: 57159.540  CSP-u/t  NULL    5765.0091      106.1949      18.098   0.020
OBS: 57161.570  CSP-u/t  NULL    5743.8091      111.0946      18.102   0.021
OBS: 57163.540  CSP-u/t  NULL    5316.1840      97.9273      18.186   0.020
OBS: 57176.450  CSP-u/t  NULL    4172.5351      146.0351      18.449   0.038
OBS: 57178.460  CSP-u/t  NULL    3886.8699      114.5576      18.526   0.032
OBS: 57180.480  CSP-u/t  NULL    3473.7615      166.3708      18.648   0.052
OBS: 57182.480  CSP-u/t  NULL    3794.8971      167.7703      18.552   0.048
OBS: 57092.560  CSP-n/x  NULL    28444.6111      340.5784      16.365   0.013
OBS: 57093.560  CSP-n/x  NULL    47995.4425      486.2577      15.797   0.011
OBS: 57094.530  CSP-n/x  NULL    73181.2798      606.6194      15.339   0.009
OBS: 57095.590  CSP-n/x  NULL   105390.1445  1164.8098      14.943   0.012
OBS: 57096.520  CSP-n/x  NULL   141383.9139  1171.9694      14.624   0.009
OBS: 57097.600  CSP-n/x  NULL   185694.9101  1539.2752      14.328   0.009
OBS: 57098.560  CSP-n/x  NULL   228875.8657  2529.6185      14.101   0.012
OBS: 57099.530  CSP-n/x  NULL   273905.0251  2270.4727      13.906   0.009
OBS: 57100.570  CSP-n/x  NULL   308176.8417  2270.7209      13.778   0.008
