VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

SPEC: 1707.113 1708.658 -3.732894E-17 9.102106E-17 1
SPEC: 1708.658 1710.202 4.516317E-17 9.087437E-17 1
SPEC: 1710.202 1711.746 8.210786E-17 9.089641E-17 1
SPEC: 1711.746 1713.290 4.450616E-17 8.852802E-17 1
SPEC: 1713.290 1714.835 8.077537E-17 8.790283E-17 1
SPEC: 1714.835 1716.379 2.049204E-18 8.503671E-17 1
SPEC: 1716.379 1717.923 -8.871686E-17 8.307115E-17 1
SPEC: 1717.923 1719.467 -4.710619E-17 8.270538E-17 1
SPEC: 1719.467 1721.012 1.886648E-17 8.291404E-17 1
SPEC: 1721.012 1722.556 6.200231E-17 8.317768E-17 1
SPEC: 1722.556 1724.100 1.556398E-20 8.037380E-17 1
SPEC: 1724.100 1725.644 -5.060019E-17 7.880374E-17 1
SPEC: 1725.644 1727.189 -1.329670E-16 7.513713E-17 1
SPEC: 1727.189 1728.733 -5.987845E-17 7.588325E-17 1
SPEC: 1728.733 1730.277 6.532400E-17 7.943634E-17 1
SPEC: 1730.277 1731.822 -1.183372E-16 7.230352E-17 1
SPEC: 1731.822 1733.366 -2.393715E-16 6.791714E-17 1
SPEC: 1733.366 1734.910 -3.767779E-17 7.478965E-17 1
SPEC: 1734.910 1736.454 1.602043E-16 7.966502E-17 1
SPEC: 1736.454 1737.999 -2.203965E-17 7.203057E-17 1
SPEC: 1737.999 1739.543 -1.814839E-16 6.760028E-17 1
SPEC: 1739.543 1741.087 8.354021E-18 7.157068E-17 1
SPEC: 1741.087 1742.631 1.192900E-16 7.342238E-17 1
SPEC: 1742.631 1744.176 7.617003E-17 7.230910E-17 1
SPEC: 1744.176 1745.720 1.860527E-16 7.462584E-17 1
SPEC: 1745.720 1747.264 1.669454E-16 7.299282E-17 1
SPEC: 1747.264 1748.808 7.524547E-17 7.049676E-17 1
SPEC: 1748.808 1750.353 2.023103E-16 7.397692E-17 1
SPEC: 1750.353 1751.897 1.785280E-16 7.186263E-17 1
SPEC: 1751.897 1753.441 -7.334403E-17 6.322037E-17 1
SPEC: 1753.441 1754.986 -9.102947E-17 6.325760E-17 1
SPEC: 1754.986 1756.530 -4.655963E-17 6.374356E-17 1
SPEC: 1756.530 1758.074 -4.474549E-17 6.251402E-17 1
SPEC: 1758.074 1759.618 6.167142E-17 6.529351E-17 1
SPEC: 1759.618 1761.163 2.689573E-17 6.390950E-17 1
SPEC: 1761.163 1762.707 -6.383447E-17 6.091295E-17 1
SPEC: 1762.707 1764.251 -8.543688E-17 6.004457E-17 1
SPEC: 1764.251 1765.795 -1.430712E-16 5.746145E-17 1
SPEC: 1765.795 1767.340 -1.281922E-16 5.754242E-17 1
SPEC: 1767.340 1768.884 4.703816E-18 6.064638E-17 1
SPEC: 1768.884 1770.428 7.475929E-17 6.207529E-17 1
SPEC: 1770.428 1771.973 2.542660E-17 5.944294E-17 1
SPEC: 1771.973 1773.517 2.034289E-17 5.978925E-17 1
SPEC: 1773.517 1775.061 3.288625E-18 5.747547E-17 1
SPEC: 1775.061 1776.605 6.806209E-17 5.974133E-17 1
SPEC: 1776.605 1778.150 -1.231073E-17 5.734027E-17 1
SPEC: 1778.150 1779.694 -1.408347E-16 5.290938E-17 1
SPEC: 1779.694 1781.238 -1.966310E-16 5.099901E-17 1
SPEC: 1781.238 1782.782 -7.051002E-17 5.440940E-17 1
SPEC: 1782.782 1784.327 -4.008219E-17 5.440316E-17 1
SPEC: 1784.327 1785.871 -5.758275E-17 5.343582E-17 1
SPEC: 1785.871 1787.415 -3.762686E-18 5.455156E-17 1
SPEC: 1787.415 1788.959 -8.777173E-18 5.309245E-17 1
SPEC: 1788.959 1790.504 9.779054E-17 5.681325E-17 1
SPEC: 1790.504 1792.048 4.963677E-17 5.406304E-17 1
SPEC: 1792.048 1793.592 3.485025E-18 5.282602E-17 1
SPEC: 1793.592 1795.137 4.466918E-17 5.300525E-17 1
SPEC: 1795.137 1796.681 8.913407E-17 5.461515E-17 1
SPEC: 1796.681 1798.225 1.099277E-16 5.469702E-17 1
SPEC: 1798.225 1799.769 3.214323E-17 5.141832E-17 1
SPEC: 1799.769 1801.314 -1.681472E-17 5.008609E-17 1
SPEC: 1801.314 1802.858 7.566511E-17 5.216776E-17 1
SPEC: 1802.858 1804.402 -1.845056E-19 4.923115E-17 1
SPEC: 1804.402 1805.946 -3.072896E-17 4.860756E-17 1
SPEC: 1805.946 1807.491 3.671268E-17 5.002022E-17 1
SPEC: 1807.491 1809.035 2.945789E-17 4.892124E-17 1
SPEC: 1809.035 1810.579 2.624004E-17 4.884906E-17 1
SPEC: 1810.579 1812.123 9.977000E-17 5.061603E-17 1
SPEC: 1812.123 1813.668 1.077387E-16 5.018242E-17 1
SPEC: 1813.668 1815.212 1.052668E-16 4.942976E-17 1
SPEC: 1815.212 1816.756 1.293357E-16 4.988364E-17 1
SPEC: 1816.756 1818.301 5.710089E-17 4.746915E-17 1
SPEC: 1818.301 1819.845 -3.767447E-18 4.569540E-17 1
SPEC: 1819.845 1821.389 8.921564E-18 4.574380E-17 1
SPEC: 1821.389 1822.933 6.495942E-17 4.665111E-17 1
