SNID: 2023gft
# CREATED_DATE: 2023-04-20T10:56:12.704Z
# MODIFIED_DATE: 2023-11-25T05:01:47.306Z
# STATUS: Following
# OBS_GROUP: PSST
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J212600.455-034820.602; (21:26:00.46, -03:48:20.87)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: UVEXT
# NAME: 2023gft
# RA: 321.5055315240771
# DEC: -3.798211389975169
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-06-17T00:00:00Z
# REDSHIFT: 0.0098
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-04-17T10:00:46Z
# NON_DETECT_LIMIT: 18.85
# MW_EBV: 0.053
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.jpeg
# POSTAGE_STAMP_REF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.jpeg
# POSTAGE_STAMP_DIFF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.fits
# POSTAGE_STAMP_REF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023gft
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [30, 32, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60127.398  ZTF-r  21677.0410  638.8866  16.660  0.032  None  P48  ZTF-Cam  None
OBS:      60133.383  ZTF-r  18030.1774  664.2534  16.860  0.040  None  P48  ZTF-Cam  None
OBS:      60140.338  ZTF-g  10864.2562  460.2901  17.410  0.046  None  P48  ZTF-Cam  None
OBS:      60146.317  ZTF-r  12336.7283  386.3249  17.272  0.034  None  P48  ZTF-Cam  None
OBS:      60146.356  ZTF-r  12382.2623  399.1552  17.268  0.035  None  P48  ZTF-Cam  None
OBS:      60156.389  ZTF-r  9384.2593  535.8774  17.569  0.062  None  P48  ZTF-Cam  None
OBS:      60160.315  ZTF-g  8550.6671  527.6532  17.670  0.067  None  P48  ZTF-Cam  None
OBS:      60162.408  ZTF-g  8302.3302  428.2149  17.702  0.056  None  P48  ZTF-Cam  None
OBS:      60168.339  ZTF-r  6698.8461  320.8316  17.935  0.052  None  P48  ZTF-Cam  None
OBS:      60170.312  ZTF-r  6474.4070  333.9349  17.972  0.056  None  P48  ZTF-Cam  None
OBS:      60170.333  ZTF-g  7231.0273  439.5595  17.852  0.066  None  P48  ZTF-Cam  None
OBS:      60172.279  ZTF-r  5866.7827  367.4368  18.079  0.068  None  P48  ZTF-Cam  None
OBS:      60181.270  ZTF-r  4915.8656  267.1319  18.271  0.059  None  P48  ZTF-Cam  None
OBS:      60181.317  ZTF-g  6534.3140  355.0797  17.962  0.059  None  P48  ZTF-Cam  None
OBS:      60183.362  ZTF-r  4579.3095  257.2786  18.348  0.061  None  P48  ZTF-Cam  None
OBS:      60183.402  ZTF-g  6373.8230  352.2289  17.989  0.060  None  P48  ZTF-Cam  None
OBS:      60185.222  ZTF-r  4246.1956  332.4243  18.430  0.085  None  P48  ZTF-Cam  None
OBS:      60185.427  ZTF-g  6053.4087  462.7558  18.045  0.083  None  P48  ZTF-Cam  None
OBS:      60193.273  ZTF-r  3541.6040  254.4300  18.627  0.078  None  P48  ZTF-Cam  None
OBS:      60193.332  ZTF-g  5252.9105  295.1234  18.199  0.061  None  P48  ZTF-Cam  None
OBS:      60195.317  ZTF-g  5171.3032  357.2194  18.216  0.075  None  P48  ZTF-Cam  None
OBS:      60198.253  ZTF-r  3227.0077  240.7458  18.728  0.081  None  P48  ZTF-Cam  None
OBS:      60198.352  ZTF-g  5100.3502  371.1085  18.231  0.079  None  P48  ZTF-Cam  None
OBS:      60201.230  ZTF-g  4870.7967  336.4612  18.281  0.075  None  P48  ZTF-Cam  None
OBS:      60201.255  ZTF-r  2913.3992  203.9329  18.839  0.076  None  P48  ZTF-Cam  None
OBS:      60203.250  ZTF-r  2761.8494  198.4122  18.897  0.078  None  P48  ZTF-Cam  None
OBS:      60203.254  ZTF-g  4893.2792  301.9594  18.276  0.067  None  P48  ZTF-Cam  None
OBS:      60205.257  ZTF-g  4528.9758  271.1360  18.360  0.065  None  P48  ZTF-Cam  None
OBS:      60205.300  ZTF-r  2666.8587  230.8881  18.935  0.094  None  P48  ZTF-Cam  None
OBS:      60207.232  ZTF-g  4475.0717  309.1256  18.373  0.075  None  P48  ZTF-Cam  None
